,title,price,info,link,time,street,number,address,location,point,latitude,longitude,altitude,dist,time_w,index
0,Schöne WG im X-Viertel mit tollen Mittbewohnern,300,"3er,WG,Münster,Kreuzviertel,Melchersstraße,69",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Kreuzviertel.9025754.html,1639566000.0,Melchersstraße,69,"Melchersstraße,69,Kreuzviertel,Münster,Germany","69, Melchersstraße, Kreuzviertel, Innenstadtring, Münster-Mitte, Münster, Nordrhein-Westfalen, 48149, Deutschland","(51.971376250000006, 7.6152951730068885, 0.0)",51.971376250000006,7.6152951730068885,0.0,7572351.379285764,777600.0,0.33320831014783675
1,Schönes WG-Zimmer Nähe York Ring,257,"3er,WG,Münster,Uppenberg,Salzmannstraße,,85",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Uppenberg.9022058.html,1638356400.0,Salzmannstraße,00,"Salzmannstraße,00,Uppenberg,Münster,Germany","Salzmannstraße, Uppenberg, Mitte-Nordost, Münster-Mitte, Münster, Nordrhein-Westfalen, 48147, Deutschland","(51.9833357, 7.6145697, 0.0)",51.9833357,7.6145697,0.0,7573310.055217718,-432000.0,0.18281653548789925
4,Helles Zimmer mit Blick ins Grüne im Studiwohnheim,264,"2er,WG,Münster,Sentrup,Busso-Peus-Straße,16",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Sentrup.9021908.html,1641034800.0,Busso-Peus-Straße,16,"Busso-Peus-Straße,16,Sentrup,Münster,Germany","16, Busso-Peus-Straße, Sentruper Höhe, Münster-West, Münster, Nordrhein-Westfalen, 48149, Deutschland","(51.96974295, 7.589232724711906, 0.0)",51.96974295,7.589232724711906,0.0,7573515.558735293,2246400.0,0.5161056168540501
5,Sonniges Zimmer im Hansaviertel zur Zwischenmiete,450,"3er,WG,Münster,Hafen,Bremer,Str.",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Hafen.9027579.html,1639134000.0,Bremer,Str.,"Bremer,Str.,Hafen,Münster,Germany","Bremer Straße, Hansaplatz, Hansaviertel, Münster-Mitte, Münster, Nordrhein-Westfalen, 48155, Deutschland","(51.9530186, 7.6366366, 0.0)",51.9530186,7.6366366,0.0,7569878.5763259325,345600.0,0.2791672542561165
6,3er WG sucht neue Mitbewohner*in,495,"3er,WG,Münster,Uppenberg,Grevener,Straße,220",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Uppenberg.7641108.html,1638356400.0,Grevener,Straße,"Grevener,Straße,Uppenberg,Münster,Germany","Grevener Straße/Nienkamp, 48149 Münster, Grevener Straße, Uppenberg, Mitte-Nordost, Münster-Mitte, Münster, Nordrhein-Westfalen, 48159, Deutschland","(51.9827734, 7.6119194, 0.0)",51.9827734,7.6119194,0.0,7573397.783661732,-432000.0,0.18285706458038198
7,Wohnmöglichkeit/ Notlösung,200,"4er,WG,Münster,Geist,Hammer,Str.174",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Geist.8185373.html,1636974000.0,Hammer,Str.174,"Hammer,Str.174,Geist,Münster,Germany","Evangelisch-Freikirchliche Gemeinde Münster, 166, Hammer Straße, Geist, Mitte-Süd, Münster-Mitte, Münster, Nordrhein-Westfalen, 48153, Deutschland","(51.9422067, 7.623039072524584, 0.0)",51.9422067,7.623039072524584,0.0,7569717.603903357,-1814400.0,0.010355924723939263
12,Zauberhaftes Zimmer im Kreuzviertel,327,"3er,WG,Münster,Kreuzviertel,Kettelerstraße",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Kreuzviertel.7879648.html,1638356400.0,Kettelerstraße,00,"Kettelerstraße,00,Kreuzviertel,Münster,Germany","Kettelerstraße, Kreuzviertel, Innenstadtring, Münster-Mitte, Münster, Nordrhein-Westfalen, 48147, Deutschland","(51.9719524, 7.6322505, 0.0)",51.9719524,7.6322505,0.0,7571556.886781596,-432000.0,0.18260710554567244
14,"2,5 Zimmer Dachgeschosswohnung in Gievenbeck",960,"3-Zimmer-Wohnung,Münster,Gievenbeck,Enschedeweg",https://www.wg-gesucht.de/wohnungen-in-Munster-Gievenbeck.4274770.html,1643713200.0,Enschedeweg,00,"Enschedeweg,00,Gievenbeck,Münster,Germany","Enschedeweg, Gievenbeck, Münster-West, Münster, Nordrhein-Westfalen, 48149, Deutschland","(51.9723414, 7.5759638, 0.0)",51.9723414,7.5759638,0.0,7574372.993286761,4924800.0,0.8495615449260517
0,WG-Zimmer am Bremer - Hansaviertel - UNTERMIETE,326,"4er,WG,Münster,Hafen,Soesterstr,7",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Hafen.9005068.html,1641812400.0,Soesterstr,7,"Soesterstr,7,Hafen,Münster,Germany","Soester Straße, Bahnhof, Hansaviertel, Münster-Mitte, Münster, Nordrhein-Westfalen, 48155, Deutschland","(51.9528941, 7.6381486, 0.0)",51.9528941,7.6381486,0.0,7569794.128812318,3024000.0,0.6124039583626595
4,Möbliertes Zimmer( 20m²) in Reihenhaus an nette  Studentin  abzugeben,390,"4er,WG,Münster,Gievenbeck,Asbeckweg,81",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Gievenbeck.4915052.html,1644922800.0,Asbeckweg,81,"Asbeckweg,81,Gievenbeck,Münster,Germany","81, Asbeckweg, Gievenbeck, Münster-West, Münster, Nordrhein-Westfalen, 48161, Deutschland","(51.96838195, 7.5692063514253665, 0.0)",51.96838195,7.5692063514253665,0.0,7574402.48338223,6134400.0,1.0
6,Zwischenmieter*in für 24 m² in Kinderhaus,395,"3er,WG,Münster,Kinderhaus,Brüningheide",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Kinderhaus.9026581.html,1641034800.0,Brüningheide,00,"Brüningheide,00,Kinderhaus,Münster,Germany","Brüningheide, Kinderhaus-West, Kinderhaus, Münster-Nord, Münster, Nordrhein-Westfalen, 48159, Deutschland","(52.0006646, 7.5917631, 0.0)",52.0006646,7.5917631,0.0,7575775.213485673,2246400.0,0.516403076499509
9,WG Zimmer in einem Reihenhaus Warmmiete 300 Euro,300,"3er,WG,Münster,Coerde,Gleiwitzerstr.",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Coerde.9026561.html,1636887600.0,Gleiwitzerstr.,00,"Gleiwitzerstr.,00,Coerde,Münster,Germany","Gleiwitzer Straße, Coerde, Münster-Nord, Münster, Nordrhein-Westfalen, 48157, Deutschland","(51.995684, 7.6444046, 0.0)",51.995684,7.6444046,0.0,7572788.02633266,-1900800.0,0.0
10,Nettes 12 qm Zimmer in 3 Wg am Hansaring,275,"3er,WG,Münster,Hafen,Hansaring,31",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Hafen.6495373.html,1637406000.0,Hansaring,31,"Hansaring,31,Hafen,Münster,Germany","31, Hansaring, Hansaplatz, Innenstadtring, Münster-Mitte, Münster, Nordrhein-Westfalen, 48155, Deutschland","(51.9533211, 7.640413633916335, 0.0)",51.9533211,7.640413633916335,0.0,7569714.9761190815,-1382400.0,0.06411696848460414
11,11m2 Zimmer in 4erWG am Berg Fidel,330,"4er,WG,Münster,Berg,Fidel,Am,Berg,Fidel,66",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Berg-Fidel.8826773.html,1643713200.0,Fidel,Am,"Fidel,Am,Berg,Münster,Germany","Skatepark Berg Fidel, 53, Am Berg Fidel, Berg Fidel, Münster-Hiltrup, Münster, Nordrhein-Westfalen, 48153, Deutschland","(51.92826335, 7.624716039164567, 0.0)",51.92826335,7.624716039164567,0.0,7568558.969079147,4924800.0,0.848759740668946
12,"WG-Zimmer in 3er WG im beliebten Rudolf-Harbig-Weg, Studentenwohnheim",280,"3er,WG,Münster,Sentrup,Rudolf-Harbig-Weg,26",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Sentrup.9026410.html,1638615600.0,Rudolf-Harbig-Weg,26,"Rudolf-Harbig-Weg,26,Sentrup,Münster,Germany","26, Rudolf-Harbig-Weg, Sentruper Höhe, Münster-West, Münster, Nordrhein-Westfalen, 48149, Deutschland","(51.9733009, 7.596044675560025, 0.0)",51.9733009,7.596044675560025,0.0,7573452.680423487,-172800.0,0.2150883668368792
13,Süßes WG-Zimmer in WG zur Zwischenmiete,325,"5er,WG,Münster,Erphoviertel,Gereonstraße,15",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Erphoviertel.9026339.html,1638356400.0,Gereonstraße,15,"Gereonstraße,15,Erphoviertel,Münster,Germany","15, Gereonstraße, Mauritz-West, Innenstadtring, Münster-Mitte, Münster, Nordrhein-Westfalen, 48145, Deutschland","(51.96269115, 7.641723672223854, 0.0)",51.96269115,7.641723672223854,0.0,7570373.370626604,-432000.0,0.18245959649398133
16,Zimmer in 2er-WG im RHW,323,"2er,WG,Münster,Gievenbeck,Rudolf-Harbig-Weg,59",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Gievenbeck.8468019.html,1638356400.0,Rudolf-Harbig-Weg,59,"Rudolf-Harbig-Weg,59,Gievenbeck,Münster,Germany","59, Rudolf-Harbig-Weg, Gievenbeck, Münster-West, Münster, Nordrhein-Westfalen, 48149, Deutschland","(51.97527375, 7.590555113784262, 0.0)",51.97527375,7.590555113784262,0.0,7573876.593328688,-432000.0,0.18289523968481372
